# A : Adujst (misalign paramter)
# D : Design values
# Key                                     x [mm]       y [mm]       z [mm]   rotx [deg]   roty [deg]   rotz [deg]  cent_x [mm]  cent_y [mm]  cent_z [mm]
D:E16:GTR:Frame05:Layer02:Chamber17            0        363.1        582.7            0            0            0            0            0            0
D:E16:GTR:Frame06                              0            0            0            0       -26.89            0            0            0            0
D:E16:GTR:Frame06:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer00:Chamber18            0       -137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer00:Chamber19            0            0        237.5            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer00:Chamber20            0        137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer01:Chamber18            0         -266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer01:Chamber19            0            0        450.3            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer01:Chamber20            0          266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer02:Chamber18            0       -384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer02:Chamber19            0            0        636.2            0            0            0            0            0            0
D:E16:GTR:Frame06:Layer02:Chamber20            0        384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame07                              0            0            0            0       -50.55            0            0            0            0
D:E16:GTR:Frame07:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer00:Chamber21            0         -125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer00:Chamber22            0            0        197.7            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer00:Chamber23            0          125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer01:Chamber21            0       -242.6        404.9            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer01:Chamber22            0            0        404.9            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer01:Chamber23            0        242.6        404.9            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer02:Chamber21            0       -363.1        582.7            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer02:Chamber22            0            0        582.7            0            0            0            0            0            0
D:E16:GTR:Frame07:Layer02:Chamber23            0        363.1        582.7            0            0            0            0            0            0
D:E16:GTR:Frame08                              0            0            0            0       -74.21            0            0            0            0
D:E16:GTR:Frame08:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer00:Chamber24            0       -137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer00:Chamber25            0            0        237.5            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer00:Chamber26            0        137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer01:Chamber24            0         -266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer01:Chamber25            0            0        450.3            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer01:Chamber26            0          266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer02:Chamber24            0       -384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer02:Chamber25            0            0        636.2            0            0            0            0            0            0
D:E16:GTR:Frame08:Layer02:Chamber26            0        384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame09                              0            0            0            0       -97.87            0            0            0            0
D:E16:GTR:Frame09:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame09:Layer00:Chamber27            0         -125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame09:Layer00:Chamber28            0            0        197.7            0            0            0            0            0            0
D:E16:GTR:Frame09:Layer00:Chamber29            0          125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame09:Layer01                      0            0            0            0            0            0            0            0            0
